0,0 arabic
๐,0 thai
1,1 arabic
๑,1 thai
2,2 arabic
๒,2 thai
๓,3 arabic
๓,3 thai
4,4 arabic
๔,4 thai
๕,5 arabic
๕,5 thai
6,6 arabic
๖,6 thai
๗,7 arabic
๗,7 thai
8,8 arabic
๘,8 thai
๙,9 arabic
๙,9 thai
๕๕,55thai
๕๖,56thai
๕๗,57thai
์,hyphent
่,ekk
้,ttt222
ํ,o5
 ,blank
(,(
),)
‘,fan-left
’,fan-right
test,test
เ,sara ae
เค,k
เงื่,saraae ngoo sarauea maiake
เช่,saraae chorchang maiake
เชิ,saraae chang sarai
เชิ,saraae chang sarai
เท,tae(pour)
เป็,saraae porpla maitaikoo
เพิ่,permnomormar
เมิ,sara ae mah sarai
เมิ,sara ae mah sarai
เมื,m2
เมื่,miiii11
เรี,r1
เรื่,saraae rua saraeua maiake
เล,saraae lorling
เล้,saraae ling maitoe
เห,sara ae heeb
เห็,sara ae heeb maitaikoo
เห่,saraae heeb maiake
โ,sara oe
ใ,sara ai maimoen
ใน,nai(in)
ให้,hai (give)
ไ,sara ai maimalai
ไท,maimalai tahan
ไม่,mai(nope)
ไว้,maimalai van maitoe
ไว้ใ,maimalai van maitoe moen
ก,gor gai
ก์,gaigaran
ก็,gorrr
ก่,gorgaiandmaiake
กํ,gum
กใ,gai maimoen
กใ,gai maimoen
ก้ไ,gortoemaimalai
ก้ไข,kaekainosaraair
กัด,gud(bite)
กัน,gun
กับ,gab(with)
กิ,gorgaiandsaraie
กี,gee
กี่,gii(how much)
ข,kho khai
ข็,khorkhaimaitaikoo
ข้,khaimaitoe
ข้ม,khorkhaimaitoemormar
ขัด,khad (scrub)
ขั้น,kun(stage)
ขับ,khub(drive)
ข้า,kha(me)
ข้า,kha(me)
ขึ้,kheuwmaitoe
ขึ้น,up(kheun)
ฃ,kho khuad
ค,kor kwai
ค์,kwai karan
คํ,kwai saraum
ค์ไ,kwai karan maimalai
คั่ง,kung(mungkung)
คัญ,kan ying
คับ,kub (too fit)
คับ,kub (too fit)
คี,kee
คื,keur
คุ,kwai sarau
คุ้,kwai oo maitoe
คุ้ม,koom(be worth)
ฅ,kor kon
ฆ,kor rakang
ง,ngor ngoo
งใ,ngoo meon
งใน,ngongoomaimolnornoo
งไ,ngoo maimalai
จ,jor jan
จ้,jan toe
จํ,jum(remember)
จริ,jan rorrua sarai
จั,jan maihanagas
จัก,jak
จัด,jad(set)
จ้า,jaa
จึ,jorjanandsaraeu
ฉ,sho shing
ฉั,shing maihanagas
ฉัน,shun(me)
ฉัย,shing hanagus yak
ฉัยใ,shing hanagas yak malai
ช,chor chang
ช่,chang maiake
ช้,chorchangandmaitoe
ชโ,chang oe
ช้บัง,chang maitoe baimai han ngoo
ช้บัง,chang maitoe baimai han ngoo
ชั,chang maihanagus
ชั่ว,chure(verybad)
ชิ,chi (can hear when your girl thouchy)
ชื่,chang saraeu maiake
ชุ,chu
ซ,sor so
ซึ่,sor so sara eu maiake
ซื่,sorso saraeua maiake
ฌ,chor gacher
ญ,yor ying
ญโ,ying oe
ญใ,ying meon
ญไ,ying malai
ญั,ying maitoe
ญัติ,yingyat
ญี,ying hanagus
ฎ,dor chada
ฏ,tor patak
ฏิ,tor patak sara i
ฐ,thor than
ฑ,tor monto
ฑ์,monto karan
ฑี,monto saraee
ฒ,tor putao
ฒิ,putao sarai
ณ,nor nane
ณ์,nane karan
ณิ,nane sarai
ณี,nane saraee
ด,dor dek
ด็,dek maitaikoo
ด้,dek maitoe
ดํ,dum
ด้โ,dor toe oe
ด้โ,dor toe oe
ด้ท,dek maitoe tahan
ด้ท,dek maitoe tahan
ด้ป,dek maitoe porpla
ด้ว,dordekmaitoevorvan
ด้วิ,wdordekmaitoevorvanwii
ด้ส,dor hanagas sua
ด้อ,dek maitoe or ang
ดัง,dung(loud)
ดั่ง,dek hanagus maiake ngoo
ดับ,dub (dead)
ดิ,dek sarai
ดิ์,dddd
ดี,dee(good)
ต,tor tao
ต่,taomaiake
ต้,taomaitoe
ตํ,tao sara um
ต้นไ,ton maimalai (incomplete tree)
ต้บ้ง,tao maitoe bai toe ngoo
ต้บัง,tao maitoe bai arr ngoo
ตรี,tree2
ต้อ,tor2
ตั้,tao hanagas maitoe
ตั้,tao hanagas maitoe
ตั้ง,tang(stand)
ตั้งไ,tung(stand) maimalai
ตัด,tad(cut)
ติ,ti(complain)
ตุ,tu (tulakom)
ถ,thor thung
ถ้,thung maitoe
ถัม,thum
ถึ,thung saraeu
ถื,thorsaraeua
ท,tor tahan
ท์,tahan karan
ทํ,tahan saraum
ทั,tahan hanagus
ทั้,tahan2
ทั้ง,tang(all)
ทับ,tub2
ทัพ,tup(gong tup)
ทัพ,tup(gong tup)
ทั่ว,tour(around)
ที่,tee(address)
ทึ่,ttt188
ทื,tahan saraeua
ทุ,tahan sarau
ทู,two(platwo)
ธ,tor tong
ธํ,tum (tumrong)
ธิ,thi(tong)
ธี,thee(tong)
น,nor nhu
น์,noo karan
น์,noo karan
น่,noo maiake
น้,nornooandmaitoe
นํ,num
นโ,noo saraoe
นใ,noo maimeon
นไ,noo maimalai
นไข,noo maimalai khai
นัก,nuk
นัน,nun
นั้น,nun maitoe
นั้นไ,nun maitoe malai
นัย,nai yak
น้า,nah(aunt)
นิ,noosarai
นี้,ne2
นี้ใ,noo saraee maitoe maimoen
นึ่,ne3
นื,ne4
นื้,neee5
นุ,noo sarau
นุ,noo sarau
นู,nooandsaraoo
บ,bor baimai
บ่,bor1
บ้,baimai maitoe
บไป,bor pai
บริ,borrorruasarai
บั,bor maihanagus
บั,bor maihanagus
บัง,bung
บัญ,banying
บัติ,but(i)
บัน,bannoo
บับ,bub
บัล,bul(bulgaria)
บี,bee
บุ,baimai sarau
ป,por pla
ป็,porplaandmaitaikoo
ป้,portoe
ปโ,por oe
ปิ,por sarai
ผ,phor pheung
ผ่,ppp2
ผู่,pheung saraeua maiake
ผู้,puu(who)
ผู้ใ,phu meon
ผู้ใด,phudai (who that)
ผู้ดํ,ppp4
ผู้บ,phueng saraoo maitoe baimai
ผู้ป,ppp5
ผู้ล,phu + ling
ผู้สํ,phu sua saraum
ผู้สื,phu sua saraeua
ฝ,fhor fhar
ฝ่,fharmaiake
ฝั,fhar hanagus
พ,por pan
พ้,ppp6
พ้น,pon(away)
พ้น,pon(away)
พั,pan maihanagus
พัฒ,pat(evolution)
พัน,pan(thousand)
พิ,pi (pised special)
พิ่,pan sarai maiake
พื่,paulpanandsaraeuaandmaiake
พื้น,peuan(floor)
พุ,pu
ฟ,for fun
ฟ้,fun toe
ภ,por sampao
ภั,sampao hanagas
ภัก,pak sampao
ภิ,sampao sarai
ม,mor mar
ม่,mormarandmaiake
มใ,mor maimoen
มไ,mah malai
มั,moe maihanagas
มัค,muk11
มั่ง,mung(mungkung)
มัติ,mut11
มั่น,mun(stable)
มิ,mormar sarai
มิไ,mah sarai maimoen
