class,precision,recall,f1_score,support
, 0.83,1.00,0.91,  10
     ก, 0.99,1.00,0.99,  69
    กั, 0.00,0.00,0.00,   2
   กัด, 0.00,0.00,0.00,   2
   กัน, 1.00,1.00,1.00,   1
  กันใ, 0.00,0.00,0.00,   1
   กับ, 1.00,1.00,1.00,   3
    กิ, 0.75,1.00,0.86,   3
   กี่, 1.00,1.00,1.00,   1
    ก่, 1.00,1.00,1.00,   4
    ก์, 0.00,0.00,0.00,   0
    กํ, 0.00,0.00,0.00,   1
     ข, 1.00,1.00,1.00,  14
    ขั, 0.00,0.00,0.00,   1
   ขัง, 0.00,0.00,0.00,   1
   ขัด, 0.00,0.00,0.00,   1
  ขึ้น, 0.50,1.00,0.67,   2
 ขึ้นใ, 0.00,0.00,0.00,   1
    ข้, 0.67,1.00,0.80,   2
     ค, 0.98,1.00,0.99,  59
   คับ, 1.00,1.00,1.00,   3
    คิ, 0.00,0.00,0.00,   1
    คื, 0.00,0.00,0.00,   0
    คุ, 0.00,0.00,0.00,   1
   คุ้, 0.00,0.00,0.00,   2
  คุ้ม, 1.00,1.00,1.00,   1
    ค้, 0.00,0.00,0.00,   1
    ค์, 1.00,1.00,1.00,   1
    คํ, 1.00,1.00,1.00,   1
     ง, 1.00,1.00,1.00,  46
    งใ, 1.00,1.00,1.00,   1
     จ, 1.00,1.00,1.00,  15
    จั, 0.00,0.00,0.00,   0
   จัก, 0.00,0.00,0.00,   0
   จัด, 0.33,1.00,0.50,   1
   จับ, 0.00,0.00,0.00,   1
    จ้, 1.00,1.00,1.00,   2
    จํ, 1.00,0.40,0.57,   5
     ฉ, 0.00,0.00,0.00,   1
     ช, 1.00,1.00,1.00,   5
    ชิ, 0.00,0.00,0.00,   0
    ชี, 0.00,0.00,0.00,   2
  ชื่อ, 0.00,0.00,0.00,   1
    ชุ, 1.00,1.00,1.00,   1
    ช่, 0.00,0.00,0.00,   3
    ช้, 0.00,0.00,0.00,   5
  ช้สิ, 0.00,0.00,0.00,   1
   ซึ่, 1.00,1.00,1.00,   2
     ญ, 1.00,1.00,1.00,   8
    ญั, 1.00,1.00,1.00,   1
  ญัติ, 0.89,1.00,0.94,   8
    ญิ, 0.00,0.00,0.00,   1
    ญใ, 0.00,0.00,0.00,   1
    ญไ, 0.00,0.00,0.00,   0
     ฎ, 1.00,1.00,1.00,  12
    ฏิ, 1.00,1.00,1.00,   2
     ฐ, 1.00,1.00,1.00,   1
    ฑ์, 1.00,1.00,1.00,   1
     ณ, 1.00,1.00,1.00,   1
    ณี, 0.75,1.00,0.86,   3
    ณ์, 0.00,0.00,0.00,   1
     ด, 1.00,1.00,1.00,  16
    ดั, 0.00,0.00,0.00,   1
   ดิ์, 1.00,1.00,1.00,   1
    ดี, 1.00,0.50,0.67,   2
   ดีใ, 0.00,0.00,0.00,   1
    ด็, 1.00,1.00,1.00,   1
    ด้, 0.60,0.90,0.72,  10
   ด้ว, 1.00,1.00,1.00,   1
    ดํ, 0.00,0.00,0.00,   0
     ต, 0.81,1.00,0.90,  22
   ตัว, 0.00,0.00,0.00,   1
    ติ, 0.60,1.00,0.75,   3
    ตุ, 1.00,0.17,0.29,   6
    ต่, 1.00,1.00,1.00,  10
    ต้, 1.00,0.50,0.67,   4
  ต้นไ, 0.00,0.00,0.00,   0
    ตํ, 0.50,1.00,0.67,   1
     ถ, 0.71,1.00,0.83,   5
   ถิ่, 0.00,0.00,0.00,   1
    ถื, 0.00,0.00,0.00,   1
    ถุ, 0.00,0.00,0.00,   1
    ถู, 0.00,0.00,0.00,   1
     ท, 0.96,1.00,0.98,  27
  ทั่ว, 1.00,1.00,1.00,   2
   ทั้, 0.00,0.00,0.00,   0
  ทั้ง, 0.00,0.00,0.00,   1
    ที, 0.00,0.00,0.00,   1
   ที่, 1.00,1.00,1.00,  15
    ทื, 0.00,0.00,0.00,   1
    ท่, 0.00,0.00,0.00,   1
    ทํ, 0.80,1.00,0.89,   4
     ธ, 1.00,1.00,1.00,  11
    ธิ, 1.00,0.73,0.85,  15
    ธี, 0.00,0.00,0.00,   1
     น, 0.96,1.00,0.98,  50
   นัก, 1.00,1.00,1.00,   1
   นัย, 1.00,1.00,1.00,   1
  นั้น, 1.00,1.00,1.00,   2
    นิ, 1.00,1.00,1.00,   2
   นึ่, 1.00,1.00,1.00,   3
    นุ, 1.00,0.50,0.67,   2
    นู, 1.00,1.00,1.00,   7
    นใ, 0.00,0.00,0.00,   1
    นไ, 0.00,0.00,0.00,   0
    น้, 0.50,1.00,0.67,   1
     บ, 0.67,1.00,0.80,   6
    บั, 1.00,0.67,0.80,   3
   บัง, 1.00,1.00,1.00,   1
   บัญ, 1.00,1.00,1.00,   8
  บัติ, 1.00,1.00,1.00,   2
   บับ, 0.00,0.00,0.00,   0
    บุ, 1.00,0.85,0.92,  20
     ป, 1.00,1.00,1.00,   8
    ป็, 0.92,1.00,0.96,  12
    ป้, 0.00,0.00,0.00,   1
     ผ, 1.00,1.00,1.00,   3
    ผิ, 0.00,0.00,0.00,   1
   ผู้, 1.00,1.00,1.00,   3
     พ, 1.00,1.00,1.00,  16
    พิ, 1.00,1.00,1.00,   2
   พิ่, 1.00,1.00,1.00,   1
   พื่, 0.60,1.00,0.75,   3
    พใ, 0.00,0.00,0.00,   2
    พ้, 0.00,0.00,0.00,   0
     ภ, 0.81,1.00,0.89,  17
     ม, 1.00,1.00,1.00,  78
    มิ, 1.00,1.00,1.00,   6
    มี, 0.83,1.00,0.91,  10
    มื, 0.00,0.00,0.00,   3
